
                                            Norm of      First-order 
 Iteration  Func-count      Resnorm            step       optimality
lsqnonlin stopped because it exceeded the function evaluation limit,
<a href = "matlab: helpview('optim','max_fun_evals','CSHelpWindow');">options.MaxFunctionEvaluations</a> = 1.500000e+03.

Joint Model Personalization Runtime: 1.247122 Hours

                                            Norm of      First-order 
 Iteration  Func-count      Resnorm            step       optimality
     0         33          0.141989                             1.19
     1         66          0.141358     0.000544583            0.157      
     2         99          0.141358     0.000272132            0.157      
     3        132           0.14133     6.80329e-05           0.0955      
     4        165           0.14133     0.000136066           0.0955      
     5        198           0.14133     3.40165e-05           0.0955      
     6        231           0.14133     8.50411e-06           0.0955      
     7        264           0.14133     2.12603e-06           0.0955      
     8        297           0.14133     5.31507e-07           0.0955      

<a href = "matlab: helpview('optim','local_min_possible_lsq','CSHelpWindow');">Local minimum possible</a>.
lsqnonlin stopped because the <a href = "matlab: helpview('optim','norm_current_step','CSHelpWindow');">size of the current step</a> is less than
the value of the <a href = "matlab: helpview('optim','step_size_tol','CSHelpWindow');">step size tolerance</a>.

<<a href = "matlab: createExitMsg({'optimlib:snls:Exit2basic','lsqnonlin'},{'optimlib:snls:Exit2detailed','5.315071e-07','1.000000e-06'},true,true);;">stopping criteria details</a>>
Joint Model Personalization Runtime: 0.238363 Hours

                                            Norm of      First-order 
 Iteration  Func-count      Resnorm            step       optimality
     0         73           0.46108                             2.66
     1        146          0.457501      0.00111051             1.72      
     2        219          0.455799     0.000989561             1.57      
     3        292          0.454117      0.00181493             1.55      
     4        365          0.452291      0.00179886            0.985      
     5        438          0.451201      0.00171677             1.46      
     6        511          0.450091      0.00133819             1.21      
     7        584          0.448792      0.00252365             1.46      
     8        657          0.446552      0.00126528             1.37      
     9        730          0.446167     0.000858742             1.35      
    10        803          0.444769      0.00132389             1.09      
    11        876          0.443506        0.001507             1.15      
    12        949          0.441978       0.0021309                1      
    13       1022          0.440927      0.00235126             1.41      
    14       1095          0.439565      0.00191948             1.34      
    15       1168          0.438267      0.00115056             1.62      
    16       1241          0.436896      0.00169292             1.08      
    17       1314          0.435335      0.00225481             1.67      
    18       1387          0.433785      0.00174349              1.2      
    19       1460          0.432675      0.00068142             1.75      
    20       1533          0.431271      0.00149178             1.59      

