Starting parallel pool (parpool) using the 'Processes' profile ...
Connected to parallel pool with 6 workers.

                                            Norm of      First-order 
 Iteration  Func-count      Resnorm            step       optimality
<a href = "matlab: helpview('optim','solver_stopped_premature','CSHelpWindow');">Solver stopped prematurely</a>.

lsqnonlin stopped because it exceeded the function evaluation limit,
<a href = "matlab: helpview('optim','max_fun_evals','CSHelpWindow');">options.MaxFunctionEvaluations</a> = 1.500000e+03.

Joint Model Personalization Runtime: 0.471182 Hours

                                            Norm of      First-order 
 Iteration  Func-count      Resnorm            step       optimality
     0         33          0.467772                            0.523
     1         66          0.467668     0.000328165           0.0675      
     2         99          0.467668     0.000247738           0.0675      
     3        132          0.467668     6.19345e-05           0.0675      
     4        165          0.467668     1.54836e-05           0.0675      
     5        198          0.467668      3.8709e-06           0.0675      
     6        231          0.467668     9.67726e-07           0.0675      

<a href = "matlab: helpview('optim','local_min_possible_lsq','CSHelpWindow');">Local minimum possible</a>.
lsqnonlin stopped because the <a href = "matlab: helpview('optim','norm_current_step','CSHelpWindow');">size of the current step</a> is less than
the value of the <a href = "matlab: helpview('optim','step_size_tol','CSHelpWindow');">step size tolerance</a>.

<<a href = "matlab: createExitMsg({'optimlib:snls:Exit2basic','lsqnonlin'},{'optimlib:snls:Exit2detailed','9.677261e-07','1.000000e-06'},true,true);;">stopping criteria details</a>>
Joint Model Personalization Runtime: 0.072525 Hours

                                            Norm of      First-order 
 Iteration  Func-count      Resnorm            step       optimality
     0         73          0.731484                             7.68
     1        146          0.708382      0.00278337             5.72      
     2        219          0.692552      0.00230272             4.47      
     3        292           0.68425      0.00182953             2.98      
     4        365          0.679392      0.00240465             1.89      
     5        438          0.675936      0.00215813             1.56      
     6        511          0.673783      0.00324178             1.31      
     7        584          0.671728      0.00277366             1.15      
     8        657          0.670359      0.00187265            0.834      
     9        730          0.668627      0.00288455            0.774      
    10        803          0.667239      0.00348022            0.913      
    11        876          0.665779       0.0028792            0.782      
    12        949          0.665037      0.00222943            0.632      
    13       1022          0.663697      0.00393713             0.97      
    14       1095          0.662731      0.00222265             0.85      
    15       1168          0.661464      0.00290588            0.922      
    16       1241          0.660092      0.00338488            0.675      
    17       1314          0.658513      0.00439064            0.866      
    18       1387          0.657817      0.00191355             1.02      
    19       1460          0.657134      0.00156947            0.858      
    20       1533          0.656441      0.00202391            0.648      

<a href = "matlab: helpview('optim','solver_stopped_premature','CSHelpWindow');">Solver stopped prematurely</a>.

lsqnonlin stopped because it exceeded the function evaluation limit,
<a href = "matlab: helpview('optim','max_fun_evals','CSHelpWindow');">options.MaxFunctionEvaluations</a> = 1.500000e+03.

Joint Model Personalization Runtime: 0.572320 Hours

                                            Norm of      First-order 
 Iteration  Func-count      Resnorm            step       optimality
     0         25         0.0338112                             5.14
     1         50         0.0338112      0.00215296             5.14      
     2         75         0.0338112      0.00053824             5.14      
     3        100         0.0338112      0.00013456             5.14      
     4        125         0.0338112       3.364e-05             5.14      
     5        150         0.0338112     8.40999e-06             5.14      
     6        175         0.0338112      2.1025e-06             5.14      
     7        200         0.0338112     5.25625e-07             5.14      

<a href = "matlab: helpview('optim','local_min_possible_lsq','CSHelpWindow');">Local minimum possible</a>.
lsqnonlin stopped because the <a href = "matlab: helpview('optim','norm_current_step','CSHelpWindow');">size of the current step</a> is less than
the value of the <a href = "matlab: helpview('optim','step_size_tol','CSHelpWindow');">step size tolerance</a>.

<<a href = "matlab: createExitMsg({'optimlib:snls:Exit2basic','lsqnonlin'},{'optimlib:snls:Exit2detailed','5.256246e-07','1.000000e-06'},true,true);;">stopping criteria details</a>>
Joint Model Personalization Runtime: 0.067960 Hours
